player_a,player_b,elo_points_a,elo_points_b,h2h_wins_a,h2h_wins_b,last5_winrate_a,last5_winrate_b,surface_winrate_a,surface_winrate_b,winrate_a,winrate_b,result
Nikoloz Basilashvili,Henrique Rocha,1659,1466,0,1,"0,8","0,2","0,58","0,49","0,61","0,51",0
Corentin Moutet,Clement Tabur,1766,1444,0,0,"0,6",1,"0,52","0,6","0,51","0,6",1
Flavio Cobolli,Marin Cilic,1839,1444,1,0,1,"0,4","0,67","0,64","0,55","0,59",1
Maximilian Marterer,Adam Walton,1591,1675,0,0,"0,4","0,4","0,62","0,33","0,46","0,54",
Benjamin Bonzi,Pierre Hugues Herbert,1733,1644,5,0,"0,4","0,2","0,43","0,48","0,67","0,52",
Mackenzie Mcdonald,Novak Djokovic,1705,2157,0,0,"0,2","0,8","0,2","0,88","0,6","0,8",0
Hubert Hurkacz,Joao Fonseca,1952,1901,0,0,"0,8","0,2","0,71","0,6","0,61","0,7",0
Felix Auger Aliassime,Matteo Arnaldi,1864,1859,0,0,"0,6","0,4","0,55","0,53","0,58","0,52",
Mattia Bellucci,Jack Draper,1641,2085,0,1,0,"0,8","0,46","0,67","0,61","0,74",1
Gael Monfils,Hugo Dellien,1923,1638,0,0,"0,4","0,6","0,43","0,66","0,64","0,65",0
